"","Date","Close.Last","Volume","Open","High","Low","diff","norm"
"468","02/09/2020",224.54,"N/A",227.72,229.28,222.59,6.69,0.0124526919790014
"469","02/08/2020",228.07,"N/A",220.03,228.84,223.07,5.77000000000001,0.0105807186749685
"470","02/07/2020",220.39,"N/A",218.62,224.43,213.75,10.68,0.0205713588084483
"471","02/06/2020",219.52,"N/A",205.94,220.92,213.14,7.78,0.0146705733935621
"472","02/05/2020",205.23,"N/A",190.26,206.51,201.29,5.22,0.00946160419973143
"473","02/04/2020",189.95,"N/A",187.23,190.13,188.26,1.87,0.00264517966874214
"474","02/03/2020",187.56,"N/A",190.78,191.48,187.13,4.34999999999999,0.00769136857526554
"475","02/02/2020",191.22,"N/A",181.9,194.92,187.44,7.47999999999999,0.01406014731616
"476","02/01/2020",181.94,"N/A",182,183.68,179.49,4.19,0.00736580800065113
"477","01/31/2020",182.53,"N/A",182.34,184.17,179.36,4.80999999999997,0.00862735522728194
"478","01/30/2020",182.36,"N/A",174.27,185.67,182.34,3.32999999999998,0.00561591991209863
"479","01/29/2020",174.28,"N/A",176.39,174.5,171.2,3.30000000000001,0.00555487730435848
"480","01/28/2020",176.25,"N/A",172.26,177.42,175.26,2.16,0.00323525821023075
"481","01/27/2020",172.56,"N/A",167,173.53,170.27,3.25999999999999,0.00547348716070484
"482","01/26/2020",166.8,"N/A",160.9,169.64,166.54,3.09999999999999,0.00514792658609043
"483","01/25/2020",160.92,"N/A",159.41,161.76,159.55,2.20999999999998,0.00333699588979772
"484","01/24/2020",159.47,"N/A",158.44,162.58,157.87,4.71000000000001,0.008423879868148
"485","01/23/2020",158.47,"N/A",164.82,163.42,158.12,5.29999999999998,0.0096243844870386
"486","01/22/2020",164.52,"N/A",169.43,168.25,164.52,3.72999999999999,0.00642982134863468
"487","01/21/2020",169.38,"N/A",167.95,169.97,167.97,2,0.00290969763561634
"488","01/20/2020",168.48,"N/A",164.87,168.83,165.74,3.09,0.00512757905017705
"489","01/19/2020",165.09,"N/A",175.98,167.44,164.57,2.87,0.00467993326008223
"490","01/18/2020",176.09,"N/A",168.82,177.77,173.53,4.24000000000001,0.00746754568021816
"491","01/17/2020",169.29,"N/A",166.63,173.54,168.18,5.35999999999999,0.00974646970251901
"492","01/16/2020",166.37,"N/A",160.31,167.21,162.33,4.88,0.00876978797867579
"493","01/15/2020",160.63,"N/A",160.77,167.18,159.08,8.09999999999999,0.0153216945427909
"494","01/14/2020",161.67,"N/A",149.08,171.69,161.05,10.64,0.0204899686647947
"495","01/13/2020",149.44,"N/A",144.03,150.26,143.59,6.66999999999999,0.0124119969071745
"496","01/12/2020",144.11,"N/A",143.66,146.87,142.88,3.99000000000001,0.00695885728238314
"497","01/11/2020",143.73,"N/A",143.31,144.44,142,2.44,0.00380498921580598
"498","01/10/2020",143.42,"N/A",136.58,145.23,142.95,2.28,0.00347942864119157
"499","01/09/2020",136.64,"N/A",140.09,138.19,136.33,1.85999999999999,0.0026248321328287
"500","01/08/2020",140.13,"N/A",145.02,141.6,139.6,2,0.00290969763561634
"501","01/07/2020",145.02,"N/A",142.52,147.55,142.95,4.60000000000002,0.00820005697310062
"502","01/06/2020",142.42,"N/A",139.6,145.13,142.33,2.79999999999998,0.00453750050868838
"503","01/05/2020",139.82,"N/A",136.02,139.9,135.17,4.73000000000002,0.00846457493997482
"504","01/04/2020",136.42,"N/A",133.76,136.97,134.32,2.65000000000001,0.00423228746998741
"505","01/03/2020",133.96,"N/A",129.4,134.77,132.95,1.82000000000002,0.00254344198917517
"506","01/02/2020",129.24,"N/A",129.71,129.79,126.05,3.73999999999999,0.00645016888454809
"507","01/01/2020",129.67,"N/A",130.23,130.77,128.89,1.88000000000002,0.00266552720465558
"508","12/31/2019",130.28,"N/A",131.46,130.92,128.81,2.10999999999999,0.00313352053066372
"509","12/30/2019",131.56,"N/A",135.14,132.11,131.18,0.930000000000007,0.00073251129288246
"510","12/29/2019",135.18,"N/A",128.32,135.6,133.28,2.31999999999999,0.00356081878484516
"511","12/28/2019",128.3,"N/A",127.54,128.44,127.67,0.769999999999996,0.000406950718268024
"512","12/27/2019",125.28,"N/A",128.81,127.04,123.18,3.86,0.00669433931550891
"513","12/26/2019",125.83,"N/A",124.8,126.73,125.31,1.42,0.00172954055263909
"514","12/25/2019",124.91,"N/A",126.56,125.74,124.7,1.03999999999999,0.00095633418792984
"515","12/24/2019",126.56,"N/A",128.09,128.17,125.79,2.37999999999998,0.00368290400032554
"516","12/23/2019",128.13,"N/A",133.42,128.67,127.56,1.10999999999999,0.00109876693932363
"517","12/22/2019",133.6,"N/A",127.46,134.92,132.2,2.72,0.0043747202213812
"518","12/21/2019",127.55,"N/A",128.09,128.12,127.09,1.03,0.000935986652016458
"519","12/20/2019",127.94,"N/A",127.16,128.79,127.4,1.38999999999999,0.00166849794489886
"520","12/19/2019",127.18,"N/A",128.47,128.79,126.8,1.98999999999999,0.00288935009970293
"521","12/18/2019",128.2,"N/A",123.9,133.9,127.28,6.62,0.0123102592276076
"522","12/17/2019",123.82,"N/A",131.85,125.33,121.6,3.73,0.00642982134863471
"523","12/16/2019",131.73,"N/A",141.45,132.96,131.37,1.59,0.00207544866316691
"524","12/15/2019",141.42,"N/A",141.31,142.75,141.04,1.71000000000001,0.00231961909412773
"525","12/14/2019",141.31,"N/A",144.62,142.14,140.3,1.83999999999997,0.00258413706100188
"526","12/13/2019",144.62,"N/A",144.69,145.17,144.48,0.689999999999998,0.00024417043096082
"527","12/12/2019",144.72,"N/A",141.9,145.43,144.37,1.06,0.000997029259756663
"528","12/11/2019",141.98,"N/A",145.89,143.98,140,3.97999999999999,0.0069385097464697
"529","12/10/2019",145.9,"N/A",147.79,146.56,145.2,1.36000000000001,0.00160745533715871
"530","12/09/2019",147.76,"N/A",150.86,148.48,147,1.47999999999999,0.00185162576811947
"531","12/08/2019",151.03,"N/A",148.46,151.75,150.31,1.44,0.00177023562446589
"532","12/07/2019",148.6,"N/A",149.17,148.94,147.95,0.990000000000009,0.00085459650836287
"533","12/06/2019",149.28,"N/A",148.32,149.55,148.29,1.26000000000002,0.00140397997802472
"534","12/05/2019",148.1,"N/A",145.28,148.98,147.22,1.75999999999999,0.0024213567736947
"535","12/04/2019",145.41,"N/A",145.21,146.6,144.64,1.96000000000001,0.00282830749196275
"536","12/03/2019",145.31,"N/A",149.27,147.9,144.1,3.80000000000001,0.00657225410002853
"537","12/02/2019",148.78,"N/A",150.59,149.84,148.65,1.19,0.00126154722663086
"538","12/01/2019",150.59,"N/A",147.89,151.63,150.12,1.50999999999999,0.00191266837585968
"539","11/30/2019",148.38,"N/A",154.07,151.93,146.85,5.08000000000001,0.00917673869694384
"540","11/29/2019",153.43,"N/A",152.62,155.19,153.19,2,0.00290969763561634
"541","11/28/2019",152.32,"N/A",152.5,152.9,150.64,2.26000000000002,0.0034387335693648
"542","11/27/2019",152.1,"N/A",145.93,154.68,151.86,2.81999999999999,0.0045781955805152
"543","11/26/2019",146.35,"N/A",149.28,148.46,144.75,3.71000000000001,0.00638912627680791
"544","11/25/2019",147.83,"N/A",138.28,148.29,144.5,3.78999999999999,0.00655190656411509
"545","11/24/2019",138.52,"N/A",150.98,142.58,136.95,5.63000000000002,0.0102958531721809
